"DateTime","Average","InnovationCenterPurple FLC - Outdoor A","InnovationCenterPurple FLC - Outdoor B"
"2023-12-08 19:00:00",,4,5
"2023-12-08 19:10:00",,4,6
"2023-12-08 19:20:00",,1,3
"2023-12-08 19:30:00",,2,6
"2023-12-08 19:40:00",,1,4
"2023-12-08 19:50:00",,2,1
"2023-12-08 20:00:00",,0,1
"2023-12-08 20:10:00",,0,0
"2023-12-08 20:20:00",,0,0
"2023-12-08 20:30:00",,0,0
"2023-12-08 20:40:00",,1,3
"2023-12-08 20:50:00",,8,9
"2023-12-08 21:00:00",,12,14
"2023-12-08 21:10:00",,18,20
"2023-12-08 21:20:00",,21,23
"2023-12-08 21:30:00",,21,23
"2023-12-08 21:40:00",,29,30
"2023-12-08 21:50:00",,25,27
"2023-12-08 22:00:00",,19,22
"2023-12-08 22:10:00",,26,28
"2023-12-08 22:20:00",,31,33
"2023-12-08 22:30:00",,42,44
"2023-12-08 22:40:00",,43,39
"2023-12-08 22:50:00",,57,55
"2023-12-08 23:00:00",,52,49
"2023-12-08 23:10:00",,37,34
"2023-12-08 23:20:00",,34,30
"2023-12-08 23:30:00",,38,32
"2023-12-08 23:40:00",,36,31
"2023-12-08 23:50:00",,38,36
"2023-12-09 00:00:00",,41,37
"2023-12-09 00:10:00",,28,27
"2023-12-09 00:20:00",,27,26
"2023-12-09 00:30:00",,28,26
"2023-12-09 00:40:00",,32,28
"2023-12-09 00:50:00",,28,26
"2023-12-09 01:00:00",,27,25
"2023-12-09 01:10:00",,28,26
"2023-12-09 01:20:00",,21,20
"2023-12-09 01:30:00",,22,21
"2023-12-09 01:40:00",,31,28
"2023-12-09 01:50:00",,25,23
"2023-12-09 02:00:00",,22,21
"2023-12-09 02:10:00",,21,21
"2023-12-09 02:20:00",,18,19
"2023-12-09 02:30:00",,19,20
"2023-12-09 02:40:00",,19,20
"2023-12-09 02:50:00",,20,19
"2023-12-09 03:00:00",,21,20
"2023-12-09 03:10:00",,20,20
"2023-12-09 03:20:00",,18,19
"2023-12-09 03:30:00",,18,19
"2023-12-09 03:40:00",,16,19
"2023-12-09 03:50:00",,24,23
"2023-12-09 04:00:00",,22,23
"2023-12-09 04:10:00",,22,22
"2023-12-09 04:20:00",,16,19
"2023-12-09 04:30:00",,16,18
"2023-12-09 04:40:00",,15,18
"2023-12-09 04:50:00",,16,18
"2023-12-09 05:00:00",,16,17
"2023-12-09 05:10:00",,17,19
"2023-12-09 05:20:00",,22,21
"2023-12-09 05:30:00",,27,24
"2023-12-09 05:40:00",,27,24
"2023-12-09 05:50:00",,26,24
"2023-12-09 06:00:00",,26,24
"2023-12-09 06:10:00",,23,21
"2023-12-09 06:20:00",,21,21
"2023-12-09 06:30:00",,23,22
"2023-12-09 06:40:00",,25,24
"2023-12-09 06:50:00",,23,22
"2023-12-09 07:00:00",,37,37
"2023-12-09 07:10:00",,35,35
"2023-12-09 07:20:00",,39,34
"2023-12-09 07:30:00",,17,18
"2023-12-09 07:40:00",,26,24
"2023-12-09 07:50:00",,26,26
"2023-12-09 08:00:00",,25,25
"2023-12-09 08:10:00",,28,27
"2023-12-09 08:20:00",,29,27
"2023-12-09 08:30:00",,26,24
"2023-12-09 08:40:00",,23,23
"2023-12-09 08:50:00",,25,25
"2023-12-09 09:00:00",,26,26
"2023-12-09 09:10:00",,18,23
"2023-12-09 09:20:00",,18,23
"2023-12-09 09:30:00",,15,18
"2023-12-09 09:40:00",,14,20
"2023-12-09 09:50:00",,13,17
"2023-12-09 10:00:00",,9,15
"2023-12-09 10:10:00",,10,14
"2023-12-09 10:20:00",,8,13
"2023-12-09 10:30:00",,6,12
"2023-12-09 10:40:00",,6,12
"2023-12-09 10:50:00",,8,13
"2023-12-09 11:00:00",,11,16
"2023-12-09 11:10:00",,10,17
"2023-12-09 11:20:00",,11,16
"2023-12-09 11:30:00",,10,14
"2023-12-09 11:40:00",,7,16
"2023-12-09 11:50:00",,8,17
"2023-12-09 12:00:00",,8,14
"2023-12-09 12:10:00",,5,13
"2023-12-09 12:20:00",,6,12
"2023-12-09 12:30:00",,6,13
"2023-12-09 12:40:00",,6,13
"2023-12-09 12:50:00",,5,12
"2023-12-09 13:00:00",,3,8
"2023-12-09 13:10:00",,3,12
"2023-12-09 13:20:00",,1,9
"2023-12-09 13:30:00",,0,6
"2023-12-09 13:40:00",,3,6
"2023-12-09 13:50:00",,2,7
"2023-12-09 14:00:00",,1,5
"2023-12-09 14:10:00",,1,5
"2023-12-09 14:20:00",,0,4
"2023-12-09 14:30:00",,0,5
"2023-12-09 14:40:00",,1,3
"2023-12-09 14:50:00",,0,3
"2023-12-09 15:00:00",,0,3
"2023-12-09 15:10:00",,0,1
"2023-12-09 15:20:00",,0,1
"2023-12-09 15:30:00",,0,1
"2023-12-09 15:40:00",,0,1
"2023-12-09 15:50:00",,0,1
"2023-12-09 16:00:00",,0,0
"2023-12-09 16:10:00",,0,2
"2023-12-09 16:20:00",,0,2
"2023-12-09 16:30:00",,0,2
"2023-12-09 16:40:00",,1,3
"2023-12-09 16:50:00",,0,4
"2023-12-09 17:00:00",,1,7
"2023-12-09 17:10:00",,2,6
